artist,track_name,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
Ten Walls,Walking With Elephants,0k7z2AgvfqnKr240HrPs0T,83637601,37i9dQZF1E8NoUe02cjCvC,SEED_OK,859,859/83637601*1000000,10.27
Jimi Jules,Euphrasia,7LyIBBRdUOirdEyQtQwokS,15376,,NO_DEDICATED_RADIO,,,
Frankey & Sandrino,Wega,3ONUGZrEDtOzxGlII97rgs,319779,,NO_DEDICATED_RADIO,,,
Adriatique,Something In Between,445RFmf5T1gSeCIBvWuNPV,53951,,NO_DEDICATED_RADIO,,,
Paul Kalkbrenner,Freund Blase,619t6POXh6rekusK7IAmDJ,334161,37i9dQZF1E8QhNT1eC9DaA,SEED_OK,10,10/334161*1000000,29.93
Ninetoes,Finder (Re-UP Remix),2DNO2h1Qsc0vPAyLGReDvN,30525335,,NO_DEDICATED_RADIO,,,
Adriatique,Modern Talking,4OsPPE4KiBp5zQ2XjKyEXQ,70358,,NO_DEDICATED_RADIO,,,
Fur Coat,Monday,6ExtMXCUpv2xc8XyqKsbW8,3313961,,NO_DEDICATED_RADIO,,,
WhoMadeWho,Dreams (Adriatique Remix),2LlGgCTMXIJFQgcRxEaQI2,419105,37i9dQZF1E8O1AHd4K1odM,SEED_OK,5,5/419105*1000000,11.93
Adriatique feat. Name One,Midnight Walking,5sbeuOIippzPwvN0dDGmKQ,1214186,,NO_DEDICATED_RADIO,,,
Mano Le Tough,Primitive People (Tale Of Us Remix),447hIum9e6lQ5tLfa35a4y,13231845,,NO_DEDICATED_RADIO,,,
Mind Against,Atlant,4zOlsVw7Um9ByU8S3gNndY,415023,,NO_DEDICATED_RADIO,,,
Andre Lodemann,Birth (Adriatique Remix),3vvbkXUdESumfGtaYYGJtw,,,NO_DEDICATED_RADIO,,,
