track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,La Isla Bonita,Madonna,6r8k1vznHrzlEKYxL4dZEe,,,NO_SEED_MATCH,,five La Isla Bonita radios exist but all seed other track versions,N/A
2,Africa,TOTO,2374M0fQpWi3dLnB54qaLX,2661640807,37i9dQZF1E8IWwJIDNbrmu,YES,40449,40449/2661640807*1M,15
3,Heaven Is A Place On Earth,Belinda Carlisle,37Q5anxoGWYdRsyeXkkNoI,,,NO_SEED_MATCH,,radios seed other versions of the track,N/A
4,Billie Jean,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,2995940617,37i9dQZF1E8JniBl3y4Slx,YES,15883,15883/2995940617*1M,5
5,Like a Prayer,Madonna,2v7ywbUzCgcVohHaKUcacV,832418252,37i9dQZF1E8EWDDzzpCF2l,YES,6782,6782/832418252*1M,8
6,Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,2826679881,37i9dQZF1E8UScGkeDMyI3,YES,44256,44256/2826679881*1M,16
7,Born in the U.S.A.,Bruce Springsteen,0dOg1ySSI7NkpAe89Zo0b9,623905388,37i9dQZF1E8UxJSSaDVo0U,YES,4876,4876/623905388*1M,8
8,Beat It,Michael Jackson,1OOtq8tRnDM8kG2gqUPjAj,,,NO_SEED_MATCH,,radios seed other Beat It versions,N/A
9,Eyes Without A Face (Remastered 1999),Billy Idol,3HCah9Waf9Jby9gLIWN4MI,,,NO_SEED_MATCH,,radios seed other versions; no radio for 1999 remaster,N/A
10,Could You Be Loved,Bob Marley & The Wailers,5O4erNlJ74PIF6kGol1ZrC,1475909153,37i9dQZF1E8NIzqMRo7kJ3,YES,29543,29543/1475909153*1M,20
11,Material Girl (2024 Remaster),Madonna,4tcauy2xyIv1q0ckvQmc4H,,,NO_SEED_MATCH,,radios seed original version not 2024 remaster,N/A
12,The Winner Takes It All,ABBA,3oEkrIfXfSh9zGnE7eBzSV,904192586,37i9dQZF1E8zYZiAye3Q7B,YES,16666,16666/904192586*1M,18
13,Thriller,Michael Jackson,2LlQb7Uoj1kKyGhlkBf9aC,979785733,37i9dQZF1E8HbUwy3Z7Txr,YES,2860,2860/979785733*1M,3
14,Holiday,Madonna,7arHM2KZ0KzIZXFVDRGClI,,,NO_SEED_MATCH,,Holiday radios seed other tracks with the same title,N/A
15,Human Nature,Michael Jackson,4cgjA7B4fJBHyB9Ya2bu0t,488403360,37i9dQZF1E8AtbLQZW0SSM,YES,12242,12242/488403360*1M,25
16,Back In Black,AC/DC,08mG3Y1vljYA6bvDt4Wqkj,2206353367,37i9dQZF1E8N3HxC9fKMXD,YES,25522,25522/2206353367*1M,12
17,Sweet Dreams (Are Made of This) (2005 Remaster),"Eurythmics, Annie Lennox, Dave Stewart",1TfqLAPs4K3s2rJMoCokcS,2000219680,37i9dQZF1E8F5kAensj8hx,YES,27509,27509/2000219680*1M,14
18,I Want to Know What Love Is (1999 Remaster),Foreigner,1JLn8RhQzHz3qDqsChcmBl,1437450639,37i9dQZF1E8Stx58gwJ9kn,YES,26987,26987/1437450639*1M,19
19,Summer Of '69,Bryan Adams,0GONea6G2XdnHWjNZd6zt3,1706923272,37i9dQZF1E8C15Jkjmfk2A,YES,20932,20932/1706923272*1M,12
20,P.Y.T. (Pretty Young Thing),Michael Jackson,1CgmY8fVN7kstVDZmsdM5k,680004269,37i9dQZF1E8Qk5QC8GL3fX,YES,6863,6863/680004269*1M,10
21,Everybody Wants To Rule The World,Tears For Fears,4RvWPyQ5RL0ao9LPZeSouE,2597673466,37i9dQZF1E8UgzZsZc2oMq,YES,84186,84186/2597673466*1M,32
22,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,2tUBqZG2AbRi7Q0BIrVrEj,1711832366,37i9dQZF1E8OFJSC2STuS4,YES,24196,24196/1711832366*1M,14
23,Maneater,Daryl Hall & John Oates,7j74lucZ59vqN67Ipe2ZcY,1155750982,37i9dQZF1E8FLfz78D3Q0U,YES,24473,24473/1155750982*1M,21
24,Uptown Girl,Billy Joel,5zA8vzDGqPl2AzZkEYQGKh,1435279903,37i9dQZF1E8NQCFlrPpdFp,YES,12135,12135/1435279903*1M,8
25,Heaven,Bryan Adams,7Ewz6bJ97vUqk5HdkvguFQ,1101103270,37i9dQZF1E8TUHQEGM219A,YES,20902,20902/1101103270*1M,19
26,Total Eclipse of the Heart,Bonnie Tyler,7wuJGgpTNzbUyn26IOY6rj,1171825094,37i9dQZF1E8RNUjBq8HvoX,YES,22686,22686/1171825094*1M,19
27,Forever Young,Alphaville,4S1VYqwfkLit9mKVY3MXoo,1292517573,37i9dQZF1E8NOEAj5WuetY,YES,29316,29316/1292517573*1M,23
28,Down Under,Men At Work,3ZZq9396zv8pcn5GYVhxUi,1331079019,37i9dQZF1E8GqlnEC0rgg0,YES,21476,21476/1331079019*1M,16
29,Smooth Operator (Single Version),Sade,1Hv1VTm8zeOeybub15mA2R,909750221,37i9dQZF1E8L5FNF7Q7iSq,YES,38959,38959/909750221*1M,43
30,Dancing In the Dark,Bruce Springsteen,7FwBtcecmlpc1sLySPXeGE,1252258505,37i9dQZF1E8ESUFs9GSlBK,YES,12251,12251/1252258505*1M,10
