track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,When You Smile,Model Man,1mhTX06itPHKN5cWj5fIVj,143018,37i9dQZF1E8NHmcQKsBkRp,YES,14,14/143018*1M,98
2,check check,salute,287TkTdofAFvXB4EaT160W,321927,37i9dQZF1E8MA9FKzy1Ngr,YES,15,15/321927*1M,47
3,Even Angels Ghost,"Overmono, Kindora",428xFofpMSCCMl2PZvBN6q,571446,37i9dQZF1E8PlO58ttWBOY,YES,47,47/571446*1M,82
4,Me and You,Bonobo,3K3yAN6QVsLNM3tNkn8zuo,1388353,37i9dQZF1E8LYYZ0p98LSM,YES,168,168/1388353*1M,121
5,The Wave,"DJ Seinfeld, just lil",4bqLhWkEv7csb51jN98YeT,451320,,NO_DEDICATED_RADIO_title_search,,,
6,Walter White,"Junior Simba, Manz",1htbje7tSIZTXgEKpqKr4Q,46358,37i9dQZF1E8OmLn1tElIEd,YES,4,4/46358*1M,86
7,I'm your girl right? (Fcukers Remix),"Tove Lo, Fcukers",0xu869oKDmbWv66goofbFq,539202,37i9dQZF1E8LKmtO4JEZn1,YES,48,48/539202*1M,89
8,Return To Bhibo,Barry Can't Swim,0b04O4aNqXhiUtHJcb6bcm,2946585,37i9dQZF1E8LxHnOdnvAjh,YES,336,336/2946585*1M,114
9,DIGITiSE,"HAAi, Pat Alvarez",3BGWPMnHswMQh1OBXZ8qaf,59637,37i9dQZF1E8KLaQzIPaH3L,YES_SAME_SONG_DUPLICATE_SEED,1,1/59637*1M,17
10,Don't Play With Me,Oscar Farrell,0Ti6MgIB9cmwpGW3wFugxj,52835,,NO_DEDICATED_RADIO_title_search,,,
11,Make Space,Ahadadream,7GUY6GHQ8PSavEfLIBH5Cr,54743,,NO_DEDICATED_RADIO_title_search,,,
12,Party Criminal,"Surusinghe, Warrior Queen",3fRURTdeiyrZMRKpyFtDbE,173259,37i9dQZF1E8PPXz0ZbAm20,YES,5,5/173259*1M,29
13,Comes and Goes,KETTAMA,3xQPerJjDVZrSFVE340D8r,10110450,37i9dQZF1E8MtPm0wcHwhs,YES,928,928/10110450*1M,92
14,Reckoning,"Jon Hopkins, Imogen Heap",0rpc7hLrZi8n1aLVwavwrp,247295,37i9dQZF1E8Pe7xD8B00ML,YES,23,23/247295*1M,93
15,Maayam (feat. Pritt),"Arthi, Pritt, Lamsi",0WSc3Ort72j76IZM53upRt,27303,37i9dQZF1E8PV9UbOSLbC5,YES,0,0/27303*1M,0
16,Lockup,Overmono,0iONV7wVA3odk4r4MuQO7w,1284172,37i9dQZF1E8OXHwfBUfdH3,YES,66,66/1284172*1M,51
17,Situationz - Raw Mix,Yung Singh,4f5xk8MfrEDRMxZNXPXzhR,8839,37i9dQZF1E8MZ1ObxaD6FP,YES,1,1/8839*1M,113
18,MY SEARCH IS OVER,"Scotti Dee, Jarreau Vandal",2VYe0pDgMUNk0wlzOPxEoT,8490,37i9dQZF1E8Pf0Qik0tc0G,YES,3,3/8490*1M,353
19,ill be there for u,amil raja,2pfbhevjWzuSycZzSXAuVU,62395,,NO_DEDICATED_RADIO_title_search,,,
20,Rumpta,"Solomun, Skrillex",2Rvi0CiuXzYyYRd3i9wxqM,929068,37i9dQZF1E8NKph03gd2el,YES,83,83/929068*1M,89
21,Pumpin,"Partiboi69, KETTAMA",51KLyIiHMGywXh2yh9Lk5d,825608,37i9dQZF1E8NfBA8uJ3sqQ,YES,32,32/825608*1M,39
22,Motorbike Rider,"DJ Physical, Me & George",3oDXPCSApOLict6xpqfRQX,6769,37i9dQZF1E8PCHtAiZkdJy,YES,0,0/6769*1M,0
