track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,Movin' To The Sun,"HUGEL, Imael Angel, Ultra Naté",25DgjoTlKK8KjstM4cZ8L2,26960483,37i9dQZF1E8NgGaxkzXGLs,YES,6649,6649/26960483*1M,247
2,I Never Knew,Adam Ten,54vF34GSMXYZfjPXMsHYWf,444066,37i9dQZF1E8Oqegkq70EvS,YES,31,31/444066*1M,70
3,Half There,"LOR, Dominique",2x1JpdXJQckuFZ41z8Zr5y,249809,37i9dQZF1E8KNVQzHhgtNH,YES,11,11/249809*1M,44
4,Free Your Mind,"Prospa, Cloonee",6TWbY1dq8eYtFiMiGdBlOa,58624398,37i9dQZF1E8KKmlPN8VZjX,YES,6148,6148/58624398*1M,105
5,Talk To You (ft. 54 Ultra),"ANOTR, 54 Ultra",0kl6Ozan3fuUdCl6TlB15v,115577820,37i9dQZF1E8LS4WwtdPa35,YES,15018,15018/115577820*1M,130
6,On 2nite,Silva Bumpa,2BoSbGSp2OaDBOx5NFHkrr,9980839,37i9dQZF1E8PJoFvBCSjn5,YES,923,923/9980839*1M,92
7,Groovejet (If This Ain't Love) - not without friends Remix,"Spiller, Sophie Ellis-Bextor, not without friends, Luke Alessi, Jordan Brando, William Kiss",6yb14tUTLWfBStXgcQJbPV,844687,37i9dQZF1E8PhgrljYXmOZ,YES,96,96/844687*1M,114
8,My Life Is A Disco (In The Mix),"Mellizos, Mixmasters",4QNEi4zAOm0FwfwJXLgp7s,1774158,37i9dQZF1E8LbAvdJNeMf8,YES,97,97/1774158*1M,55
9,Gotta Be Cool,Rafael,0BYTKcBcRU9w9S8QqbTIUR,UNKNOWN,37i9dQZF1E8LwTkPKh3J2z,YES,25,stream data unavailable,N/A
10,To The Rhythm,LOR,1pD0t9VF8voxRThGh4oHDm,386264,,NO_SEED_MATCH,,no radio seed match in top 5,N/A
11,La La Land,"Green Velvet, MEDUZA, GENESI, ESSENTIA",5hYSsLVQ6Isk6YZrnsBj4E,3480000,37i9dQZF1E8LPwDMPkTFD5,YES,639,639/3480000*1M,184
12,Chica,"Ben Evers, Najeh",4iUauxwhmi9baLkC1zYrI1,354690,37i9dQZF1E8KDLALFpk2TQ,YES,56,56/354690*1M,158
13,Kingdom Falling,LOR,1A75Sl0rYUg9C74I9owjah,301937,37i9dQZF1E8OxRkRzjTdEK,YES,11,11/301937*1M,36
14,Rhythm Of The House,"Alex Culross, Ejeca",3S7PIQ273n5Yx7e6d6n2Jj,400820,37i9dQZF1E8LFFO2igDgCH,YES,25,25/400820*1M,62
15,Shine,"HUGEL, David Guetta, French Montana, Aidan Martin",5VhHd1NH4lxUGddilFQBmY,UNKNOWN,37i9dQZF1E8LaaUje0drYo,YES,36,stream data unavailable,N/A
16,Jamaican (Bam Bam),"HUGEL, SOLTO (FR)",7e4zDInS6tA2jwzphvs2Ay,211492794,37i9dQZF1E8MLNPkpnj8QT,YES,31029,31029/211492794*1M,147
17,Trapped - Radio-Edit,Kolter,7LhaYxesZoZQ8b9WJGuLDx,4102127,37i9dQZF1E8PxZaquaT5Uo,YES,269,269/4102127*1M,66
18,Suavecito,Malo,5QoFWpXoaUyT44VmR98wLl,38517244,37i9dQZF1E8DD6xs9oA9gc,YES,3121,3121/38517244*1M,81
19,So Good (feat. Kuuda),"CamelPhat, Josh Gigante, Kuuda",6CR63qhTJnek9DDejDemiY,1488598,37i9dQZF1E8MxNXwlNnuNN,YES,121,121/1488598*1M,81
20,Shinjuku,Franky Rizardo,0niU8VMrQzSNhrmsiLlmeS,18278222,37i9dQZF1E8L76jvkd4T4b,YES,2151,2151/18278222*1M,118
21,Music Is The Answer (Dancin' And Prancin') - Edit,"Jesús Fernández, Karl8 & Andrea Monta",6YR1D5tsjAZE1Zn0lnEdEd,228366,37i9dQZF1E8KMZT14I5Jgv,YES,16,16/228366*1M,70
22,Work It,SEBS,3xcgtqFTfz0KX3JiOvooJM,282332,37i9dQZF1E8OMqgRjj3hRP,YES,6,6/282332*1M,21
23,Warpdrive,LOR,3pBXqhQM8lOi1d7ZcK27yi,UNKNOWN,37i9dQZF1E8Oy2OdssTuIV,YES,15,stream data unavailable,N/A
24,How Does It Feel,"Dubdogz, FEZZO, Zaark",0XJzkaWALsvlMEQbBSEIX2,5957183,37i9dQZF1E8LqH3tba7h2i,YES,3193,3193/5957183*1M,536
25,Push It,"Disco Lines, Maesic, Mason, Princess Superstar",5Ef5Df4m9y7X4ixO4TgBWy,1263109,37i9dQZF1E8PCLktXRgCVV,YES,64,64/1263109*1M,51
26,Blow Your Mind,"HILLS, ESSE",51NH5ntx0mM6T2FZbOXETL,UNKNOWN,37i9dQZF1E8MO4rTe2Ibgx,YES,3,stream data unavailable,N/A
27,Can't Say Nah (feat. Benni Ola),"Odd Mob, Walker & Royce, Benni Ola",2mNmhfLfnaSCMTxFJIdN0f,UNKNOWN,37i9dQZF1E8NWG12b2YnM1,YES,8,stream data unavailable,N/A
28,Not Exactly - Rinzen Remix,"deadmau5, Rinzen",44iQc1rBKQc9nZVyWE3txD,UNKNOWN,37i9dQZF1E8OjNGsA0ddul,YES,50,stream data unavailable,N/A
29,Dreams,Prospa,4F1J5Y890NaaTUOumYzYUX,UNKNOWN,37i9dQZF1E8MlUsN1bbrbG,YES,164,stream data unavailable,N/A
30,On Lock,Dale Howard,634wPPWqEtqjK8RRKhQF4d,44330,37i9dQZF1E8OsKl8fN7RHK,YES,4,4/44330*1M,90
