track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,All My Love,Coldplay,6iYxkBHyMpsgVxUgfy5fSx,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
2,Sparks,Coldplay,7D0RhFcb3CrfPuTJ0obrod,2122202789,37i9dQZF1E8Svlqw6MCEq3,YES,36329,36329/2122202789*1M,17
3,Paradise,Coldplay,6nek1Nin9q48AVZcWs9e9D,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
4,feelslikeimfallinginlove (Single Version),Coldplay,1YsU8rW2u8z4F0pwOBQ4Ea,UNKNOWN,,NO_SEED_MATCH,,Zerb remix dominates radio seed,N/A
5,Fix You,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,2148940303,37i9dQZF1E8Eu33j5aGRsV,YES,21425,21425/2148940303*1M,10
6,Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,3828868045,37i9dQZF1E8ROuoBk7ZADC,YES,54398,54398/3828868045*1M,14
7,Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy,1970255089,37i9dQZF1E8TfgyfEjk2RE,YES,15480,15480/1970255089*1M,8
8,Clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,1546818318,37i9dQZF1E8P4hPkT1lIEV,YES,15143,15143/1546818318*1M,10
9,My Universe,Coldplay,3FeVmId7tL5YN8B7R3imoM,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
10,GOOD FEELiNGS,Coldplay,65wzicJctsW9GwnTnLWxQO,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
11,WE PRAY (Single Version),Coldplay,2sKHevALE8DKDkwEo04Pbh,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
12,Everglow,Coldplay,5qfZRNjt2TkHEL12r3sDEU,382493394,37i9dQZF1E8CJynrquCmis,YES,3211,3211/382493394*1M,8
13,The Scientist,Coldplay,75JFxkI2RXiU7L9VXzMkle,2903985662,37i9dQZF1E8L8gnkZ7c9bg,YES,25893,25893/2903985662*1M,9
14,Violet Hill,Coldplay,1ZqHjApl3pfzwjweTfMi0g,235334932,37i9dQZF1E8Re97WiqCHQH,YES,897,897/235334932*1M,4
15,Speed of Sound,Coldplay,7clUVcSOtkNWa58Gw5RfD4,409879000,37i9dQZF1E8KP1XAqWf38d,YES,2944,2944/409879000*1M,7
16,Every Teardrop Is a Waterfall,Coldplay,2U8g9wVcUu9wsg6i7sFSv8,UNKNOWN,,NO_SEED_MATCH,,radio playlists exist but wrong seed version,N/A
17,Orphans,Coldplay,03T4ttRCiLXST6MZjeMwmR,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
18,Princess of China,Coldplay,4HXOBjwv2RnLpGG4xWOO6N,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
19,Higher Power,Coldplay,0939D7aT18uBDS2MTjWzct,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
20,In My Place,Coldplay,2nvC4i2aMo4CzRjRflysah,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
21,WE PRAY (TWICE Version),Coldplay,3wLvOITQt7cbK4KzQ3dufu,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
22,Charlie Brown,Coldplay,1yqMgZNrevsWMLWfO2PRp5,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
23,Biutyful,Coldplay,4TcCbhzD4caTdkkvkS45oa,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
24,Trouble,Coldplay,0R8P9KfGJCDULmlEoBagcO,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
25,Viva La Vida (Live from Spotify London),Coldplay,6qt0IWS8y6yGR6gNTEmQzj,UNKNOWN,,NO_SEED_MATCH,,live version doesn't seed radio,N/A
26,Up&Up,Coldplay,31L9yLXSj6LpCFupyMV6CR,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
27,Let Somebody Go,Coldplay,4cGqn0E8JCSY9gQllQj4Mf,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
28,Something Just Like This,Coldplay,1dNIEtp7AY3oDAKCGg2XkH,UNKNOWN,,NO_SEED_MATCH,,radio playlists exist but wrong seed version,N/A
29,Magic,Coldplay,23khhseCLQqVMCIT1WMAns,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
30,O,Coldplay,77yuzxCS3csrgTPSW0pvyk,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
