track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,Science Fiction,Brunello,6FTveMyq8szPAloptdZ17g,1690014,37i9dQZF1E8NIeMoPMTToY,YES,546,546/1690014*1e6,323.07
2,Too Much Pressure,"MAXI MERAKI, Derun, The Anahit",51HLPoOIRDSoJWrGq3j1wq,235527,37i9dQZF1E8LaGDIRbH0Yz,YES,34,34/235527*1e6,144.36
3,UH HUH,Luch,261v2NmvNMWPA6YnQDskTY,612697,37i9dQZF1E8LeSW0sYruFx,YES,56,56/612697*1e6,91.4
4,Asa,Âme,1dWWpbUHni0mmv9aaVLhcH,1485,37i9dQZF1E8PV8uHa0vBEO,YES,332,332/1485*1e6,223569.02
5,Mobile Groove,Michael Bibi,5dy1bdvVpdW62kizAWUACU,392117,37i9dQZF1E8Lflt44FjFd2,YES,30,30/392117*1e6,76.51
6,Baby Run,Jimi Jules,44COSTXHkxPVGfeyA038Qq,975630,37i9dQZF1E8NxB0ZfvgflQ,YES,142,142/975630*1e6,145.55
7,Max (Tripolism Remix),"Kenton Slash Demon, Tripolism",NA,,NA,NO,,,
8,Profil (Josh Baker Remix),"Bonafique, Yuvèe, Josh Baker",4xeCjpuxm2Mg1RifYYrRTD,550941,37i9dQZF1E8OPllAqhSWS1,YES,39,39/550941*1e6,70.79
9,Baby,"Prospa, Murda Beatz",5q6QXK4K3DvIlwGEtElny3,20574722,37i9dQZF1E8L8ET5rwA3bm,YES,910,910/20574722*1e6,44.23
10,Blue Zone,Thimble,2vflEkEod6Pl4fHbw0AUlD,97958,37i9dQZF1E8ONMQlYnwDt6,YES,8,8/97958*1e6,81.67
11,Raw,Hardt Antoine,36oq17XvNMAlGFPN5aRKAd,297960,37i9dQZF1E8McySh0XNmq2,YES,120,120/297960*1e6,402.74
12,Luxo,Trikk,0A907qe8bBU0D0R90yLNye,1050777,37i9dQZF1E8M0A7gu2I6v0,YES,33,33/1050777*1e6,31.41
13,Reveries,Mind Against,7zT7Mhq0tvsvbly0MmYsRf,1113785,37i9dQZF1E8LhceFqORDcV,YES,48,48/1113785*1e6,43.1
14,Awake,ALADAG,71EOZ1EJteWXVxhpxtUe7P,101196,NA,NO,,,
15,Free Your Mind,"Prospa, Cloonee, Sybil",6TWbY1dq8eYtFiMiGdBlOa,90664358,37i9dQZF1E8KKmlPN8VZjX,YES,8150,8150/90664358*1e6,89.89
16,Sing It Back,Hardt Antoine,79q1KLEbrIbeY6e2Vhivr3,79547,NA,NO,,,
17,Trippy Yeah,"Jimi Jules, Black Coffee",1CM0kiqrtCSHClFjTccTOb,14317787,37i9dQZF1E8KOaueGjavWG,YES,1016,1016/14317787*1e6,70.96
18,Odyssey,Ede,3uQRqiNdBjjTIvb1bq5FH4,97584,NA,NO,,,
19,Crazy For It,"Rampa, Adam Port, &ME, Boys Noize, Vinson, Keinemusik",0nZUQdt97RJ429I0FuAO2r,53752502,37i9dQZF1E8PMw2SOOoNt4,YES,1283,1283/53752502*1e6,23.87
20,Positive,Jamback,0cZN3g7rtfNE6vsmX0k8OF,23183443,37i9dQZF1E8OPHU2EKpKCk,YES,3715,3715/23183443*1e6,160.24
21,Home,Solomun,6ekLy1OsrYdLMbcqc0KZ8G,55992415,NA,NO,,,
22,Drums Are Dangerous,"Eden Burns, Christopher Tubbs",0vrPu8kJZqLXA7azusIDmn,99519,37i9dQZF1E8Oe2mWjUD7WS,YES,11,11/99519*1e6,110.53
23,Sound of You,"ANOTR, TEED",4yWvsN2g0srhfT7fplBRee,5868721,37i9dQZF1E8LE5JsxVhAsp,YES,36,36/5868721*1e6,6.13
24,AYEEE,MPINTA,1HXScgbAvGiRLW4akFbHuU,266634,37i9dQZF1E8OfJ8HtS4jIc,YES,2,2/266634*1e6,7.5
25,Don't Stop,Prospa,13cX2o4cASGLYXNaQyXWxt,37494561,37i9dQZF1E8PmLYpXTUhB4,YES,1313,1313/37494561*1e6,35.02
26,Talk To You (ft. 54 Ultra),"ANOTR, 54 Ultra",0kl6Ozan3fuUdCl6TlB15v,167601442,37i9dQZF1E8MSWfzrKj4EX,DUP_SEED,3388,3388/167601442*1e6,20.21
27,Can't Decide,"Max Dean, Luke Dean, Locky",10pfamFYvg5ftwq6rGJrWx,76615633,37i9dQZF1E8Prcr6W1Fc1Z,YES,4253,4253/76615633*1e6,55.51
28,Leave A Message,"Josh Baker, Poppy Wright, Trick Shady",6pMfUwTWJfhnqfjW020rNH,10138504,37i9dQZF1E8MoTVezs3jkg,YES,237,237/10138504*1e6,23.38
29,Dirty Cash (Money Talks),"PAWSA, The Adventures Of Stevie V",2VyvDGdcVY04cNYou9MFVX,259720468,37i9dQZF1E8MRdnZ8i23ZF,YES,10969,10969/259720468*1e6,42.23
30,NO MORE,MPINTA,2vGul3uO832AdEZx120oZv,763254,NA,NO,,,
