track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,"Check One, Check Two","Luke Dean, Locky, Jme",1rUv2sOHvgzBERMXW40YgD,91285,37i9dQZF1E8Ljyi23F8OfE,YES,12,12/91285*1M,131
2,Look Into My Eyes,Obskür,1zcK0NoULhS0ty8uimR5ja,445108,37i9dQZF1E8O4QmLiXEeTN,YES,15,15/445108*1M,34
3,Other Side of the Phone,TeeDee,4yWeNq5VjZgvNFwdyZKGz2,223509,37i9dQZF1E8KNf3Eu6MH3w,YES,6,6/223509*1M,27
4,Move Shake,Jeff Sorkowitz,3zJ3HnuFWvYGNeVxafs4mu,77208,37i9dQZF1E8P7bgLEYsavl,YES,38,38/77208*1M,492
5,Rush,Ryan Nicholls,5X8ir6VRntSttQwkDAncjn,467358,,NO_DEDICATED_RADIO_title_search,,,
6,What's Going On,M-High,6uQvNeVRlCltMrJVPRE2I4,19021,,NO_DEDICATED_RADIO_title_search,,,
7,Run (feat. O.MMY),"Marsolo, O.MMY",1gI05lrka4qQy2p00eW7Rw,163253,37i9dQZF1E8O9kPNSkXDaI,YES,2,2/163253*1M,12
8,Wish,Mat Eclair,3Ry5upRqMd9UhbiKrwPVDI,77479,,NO_DEDICATED_RADIO_title_search,,,
9,Golden Eyes,"Di Chiara Brothers, Romita Raiz",1d8w8ahMR2HwECpQ5ksjZB,38697,37i9dQZF1E8MSDCiJoDDy2,YES,1,1/38697*1M,26
10,Feel,Franky Rizardo,3mxwrp5v4TcWK1T4MsXdcs,1379445,,NO_DEDICATED_RADIO_title_search,,,
11,If Its Real,Joshwa,0vgA7Avux3faFKOmUHTHvo,114371,37i9dQZF1E8PF4GIxehzXi,YES,4,4/114371*1M,35
12,Best Be Believing,"AlunaGeorge, Riordan, Aluna, Danny P, Caleb Laurenson",30pPf3bjXSL07zF613iHLF,1210033,37i9dQZF1E8O2Rrj0Q4yG5,YES_SAME_SONG_DUPLICATE_SEED,17,17/1210033*1M,14
13,My Place,"Josh Baker, Poppy Baskcomb",06PtUjF9NsdCYLaYag104S,1193435,37i9dQZF1E8MTPPYNxQOvJ,YES,50,50/1193435*1M,42
14,Choose or Lose,Tomike,5jUIGwxb8jznbYXL64nIX0,95691,37i9dQZF1E8NcKF8F9ai58,YES,3,3/95691*1M,31
15,Show It Off,"Galo, Drago",3v99wqFqqedYXeKmyUCKP8,0,37i9dQZF1E8PPwkSD2JYQw,YES,0,0/0*1M,0
16,Prepárame,Capron,0r6SxMo8YxMJaIAW3M4qwk,17706,,NO_DEDICATED_RADIO_title_search,,,
17,Mesmerize,Cam Stockman,0oDbO6K2eYSobaJmDM1cNw,178279,37i9dQZF1E8LwBEzAR6ugI,YES,5,5/178279*1M,28
18,Trapped - Radio-Edit,Kolter,7A5lQnbimaAolqrVqVGSbl,6074160,37i9dQZF1E8PxZaquaT5Uo,YES_SAME_SONG_DUPLICATE_SEED,478,478/6074160*1M,79
19,Big Beat,Justin Rabin,2DhhhosrtccQXQXW9Cjxf6,0,,NO_DEDICATED_RADIO_title_search,,,
20,Morning Light (feat. Mizbee),"Gaskin, Ellia Jaya, Mizbee",0evpQOzmGKPoZo5LYFfKRt,138935,37i9dQZF1E8OubUtZSxFKV,YES,1,1/138935*1M,7
21,To Be Free,ANATTA,7DFSWmAZmtspiqEQNjXB6x,2086,,NO_DEDICATED_RADIO_title_search,,,
22,On 2nite,Silva Bumpa,2BoSbGSp2OaDBOx5NFHkrr,14127753,37i9dQZF1E8PJoFvBCSjn5,YES,1387,1387/14127753*1M,98
23,Profil - Josh Baker Remix,"Bonafique, Yuvèe, Josh Baker",4xeCjpuxm2Mg1RifYYrRTD,443427,37i9dQZF1E8OPllAqhSWS1,YES,31,31/443427*1M,70
24,Something 2 Dance 2,Jordan Peak,5eABSV4aDk5irs5DVz9VIG,31269,37i9dQZF1E8KZARVDh7YZ8,YES,0,0/31269*1M,0
25,Slide,"CROSS CITY, Yung Ta",2EOYAOg7weioqPFlSzv9bH,1298,,NO_DEDICATED_RADIO_title_search,,,
26,Misbehaving,"Mad.Again, Tom Did It",6WcoFEjaMaCcgBJQ4E790k,32004,37i9dQZF1E8MixovGt08El,YES,0,0/32004*1M,0
27,Feel It,"Burnski, Kepler.",5qFt57XzmdMfIaFF06GoO9,4506,,NO_DEDICATED_RADIO_title_search,,,
28,Shinjuku,Franky Rizardo,0niU8VMrQzSNhrmsiLlmeS,20382965,37i9dQZF1E8L76jvkd4T4b,YES,2383,2383/20382965*1M,117
29,Rhythm Of The House,"Alex Culross, Ejeca",3S7PIQ273n5Yx7e6d6n2Jj,805006,37i9dQZF1E8LFFO2igDgCH,YES,55,55/805006*1M,68
30,Puff Puff Pass - Nafe Smallz & Luke Dean Remix,"Kitty Hall, Nafe Smallz, Luke Dean",45gMbNPiHzrzEIezRwPmiB,156647,37i9dQZF1E8LFSxtnBiZgn,YES,12,12/156647*1M,77
