artist,track_name,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
Frank Wiedemann & Ry,Howling (Ame Remix),78jIj6Ph2364zg1ZVIvbIN,42684603,37i9dQZF1E8TjRJEQscg3X,SEED_OK,3122,3122/42684603*1000000,73.14
Matthew Dekay & Lee Burridge,Lost In A Moment,7j6zoqpgaOlImNNa1a8S16,1069339,37i9dQZF1E8PA12f02gu9j,SEED_OK,61,61/1069339*1000000,57.04
Gui Boratto,This Is Not The End (Ame Remix),0Wng4KQPVwkqL7NJhFPrIZ,120191,37i9dQZF1E8NRJW3UXcI19,SEED_OK,11,11/120191*1000000,91.52
Ame,Tatischeff,5Bv5yS0rKd3WoVnTMOXETH,250873,37i9dQZF1E8KwbcnRaYy8g,SEED_OK,7,7/250873*1000000,27.9
Robag Wruhme,Thora Vukk,4eZOchW5QJu2Fn7WHSAlK8,523726,37i9dQZF1E8KXepzndtE4z,SEED_OK,6,6/523726*1000000,11.46
Caribou,Leave House (Motor City Drum Ensemble Remix),3B74bAf6oyrWG0OxrPoVdh,22345,,NO_DEDICATED_RADIO,,,
David August,Epikur,5XxFY11r0YA6Xoyh1O9WsR,20584581,37i9dQZF1E8LQumBndcQVv,SEED_OK,992,992/20584581*1000000,48.19
Todd Terje,Snooze 4 Love,3wsWRUS06lRAhSiZvfdooR,2146063,37i9dQZF1E8MTeOrEW6EVE,SEED_OK,11,11/2146063*1000000,5.13
Osunlade,Envision (Ame Remix),7IXVjnFnFsGQ21qBV3Uo1T,3764659,37i9dQZF1E8E4DJKMnN77H,SEED_OK,237,237/3764659*1000000,62.95
Joy Wellboy,Before The Sunrise (Dixon Remix),6sFQauDPyFE9QfZCdIbH2j,3092286,37i9dQZF1E8MPoQq98eIKP,SEED_OK,139,139/3092286*1000000,44.95
Frankey & Sandrino,The Edge,1arWnV3Rlx52aafxVXOlks,52925,,NO_DEDICATED_RADIO,,,
Petar Dundov,Moving,5aVjmoAAyT9pxMj7m90XFW,69203,,NO_DEDICATED_RADIO,,,
