track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,Ke Shy,"Major Lazer, Major League Djz, Tyla, LuuDaDeejay, Yumbs",0PgY2q9kphq67E83PL9yPq,8970734,37i9dQZF1E8OPiF87AwJuX,YES_SAME_SONG_DUPLICATE_SEED,62,62/8970734*1000000,6.91
2,Alive,RÜFÜS DU SOL,5IKaBEdCQlfB6aikIFKuR8,50642896,,NO_DEDICATED_RADIO,,,
3,Lonely At The Top,Asake,5ZtK8XAVnoaGdBXZWCEVCY,192934974,37i9dQZF1E8Njew0UaWDAr,SEED_OK,3166,3166/192934974*1000000,16.41
4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",1BJJbSX6muJVF2AK7uH1x4,911313081,37i9dQZF1E8NtjM3tRpfk8,SEED_OK,41727,41727/911313081*1000000,45.79
5,Last Night,Loofy,5mF7p5mwgaPZyIykUhO3PN,68782532,,NO_DEDICATED_RADIO,,,
6,Alive - Anyma Remix,"RÜFÜS DU SOL, Anyma",1I0aQ7U6feL3NF1muq7u8z,40089328,37i9dQZF1E8MrDtJrM24rG,YES_SAME_SONG_DUPLICATE_SEED,895,895/40089328*1000000,22.33
7,Wildfires,SAULT,4Tzw9IdZbVyzmpWrvsGaNX,237658500,37i9dQZF1E8MmhlNPPsvLj,SEED_OK,19774,19774/237658500*1000000,83.2
8,Misunderstood - Stripped & Salty Vocal,"Miguel Migs, Coco Bonne",4ssMGbh1uwZNfz9dnTi6dO,5024649,37i9dQZF1E8IbXn5oR4CZ3,SEED_OK,417,417/5024649*1000000,82.99
9,You & Me - Rivo Remix,"Disclosure, Rivo, Eliza Doolittle",0xoYZ45fgTfyQYREZPN7Sa,475341213,37i9dQZF1E8NQ1eBuvZOu5,SEED_OK,17591,17591/475341213*1000000,37.01
10,soso,OMAH LAY,1wADwLSkYhrSmy4vdy6BRn,410346934,,NO_DEDICATED_RADIO,,,
11,Lauren (I Can't Stay Forever),Oden & Fatzo,33tYADyL2aZctrvR59K1bQ,130460935,37i9dQZF1E8Olbz5ksM229,SEED_OK,7342,7342/130460935*1000000,56.28
12,Starry Night - Edit,Peggy Gou,6FwPQVdtjwfORrrFkpGhrz,123014187,37i9dQZF1E8KJ1wkOBeaCv,SEED_OK,2235,2235/123014187*1000000,18.17
13,The Cure & The Cause - Radio Edit,"Fish Go Deep, Tracey K, Dennis Ferrer",2aYryJEl86lIZWCS6X1CUm,62186703,37i9dQZF1E8MuNNuktDigU,YES_SAME_SONG_DUPLICATE_SEED,794,794/62186703*1000000,12.77
