track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,Dreams,Prospa,4F1J5Y890NaaTUOumYzYUX,UNKNOWN,37i9dQZF1E8MlUsN1bbrbG,YES,109,109/UNKNOWN*1M,N/A
2,Shinjuku,Franky Rizardo,0niU8VMrQzSNhrmsiLlmeS,2652065,37i9dQZF1E8L76jvkd4T4b,YES,2050,2050/2652065*1M,773
3,Call It What You Like,Robbie Doherty,0o92pLHQhjyP2FdieF7xqw,10956087,37i9dQZF1E8KS2UjDqg2o4,YES,1643,1643/10956087*1M,150
4,Be The One,"Adam Port, SG Lewis, Keinemusik",4gDKviRLkpZowZhcnRPqqE,8355383,37i9dQZF1E8Lta6jwdlt5N,YES,253,253/8355383*1M,30
5,High On Me,"Rossi., Jazzy",3Z23sDc2J9ZkmFiMStRoIp,54783618,37i9dQZF1E8P0I6RLzwsFN,YES,2148,2148/54783618*1M,39
6,Free Your Mind,"Prospa, Cloonee",6TWbY1dq8eYtFiMiGdBlOa,12111637,37i9dQZF1E8KKmlPN8VZjX,YES,5795,5795/12111637*1M,479
7,In This Bih',"Chris Lorenzo, Kah-Lo",4QUxlbwlSBYiaTT27A5MEj,6868630,37i9dQZF1E8PD5CAt24LKS,YES,3433,3433/6868630*1M,500
8,Livin' It Up,"Gaskin, Aaron Pfeiffer",1HHKgaNHfXePWrd6e14evK,UNKNOWN,37i9dQZF1E8PIU5swL3MIu,YES,6,6/UNKNOWN*1M,N/A
9,Out of My Mind,Joshwa,2FFwFlkKjKBSCdVpPf38Gj,11424394,37i9dQZF1E8MbLPfItN69D,YES,258,258/11424394*1M,23
10,Freaky,Tita Lau,6orYXU56P1zLY9YUFX5zJV,271827,,NO_SEED_MATCH,,no radio seed match,N/A
11,Baby,"Prospa, Murda Beatz",5q6QXK4K3DvIlwGEtElny3,3451181,37i9dQZF1E8L8ET5rwA3bm,YES,720,720/3451181*1M,209
12,La La Land,"Green Velvet, Nadia Gattas, Junior Sanchez, Dj Mes",5hYSsLVQ6Isk6YZrnsBj4E,3083725,37i9dQZF1E8LPwDMPkTFD5,YES,579,579/3083725*1M,188
13,Verano En NY,Toman,7DxrTNmUprBMQ0RV45xreb,19443908,37i9dQZF1E8N4SsKFYQWMc,YES,2622,2622/19443908*1M,135
14,Wide Awake,"Chris Stussy, Tom Did It",0ScBO3EflBAKRC1WjOyJT1,11425976,37i9dQZF1E8Mp6tsARaSN8,YES,267,267/11425976*1M,23
15,Bubbling,"Dennis Cruz, Patrick Luna",6GvfH6m9biXR8bL6WW8YX7,172041,37i9dQZF1E8NhKIi8GYqjL,YES,7,7/172041*1M,41
16,You Don't Own Me,"Prospa, Josh Baker, RAHH",1TsDNh8OuRcGfNX4Dz8oVl,UNKNOWN,37i9dQZF1E8OvRRWLaznQn,YES,587,587/UNKNOWN*1M,N/A
17,Make Believe,"Luke Dean, Omar+",7IoTUnyyvbMEY2UuE2Tmsx,28931991,,NO_SEED_MATCH,,no radio seed match,N/A
18,Dancing,"Grigoré, Darmon, Luca M",5u9x7pvd4Kbhhhrpe53pRL,12092367,,NO_SEED_MATCH,,no radio seed match,N/A
19,One Question,"Cloonee, Groove Theory",7JvaT4FTTF0aYyacmfbHRY,2622298,37i9dQZF1E8OBrpCxlzW4z,YES,194,194/2622298*1M,74
20,Ride On Me,PAWSA,5WZQkHYzUGBpUCgCk9eXgA,1300611,37i9dQZF1E8NaQDu8C7sQx,YES,111,111/1300611*1M,85
21,Trippy Yeah,"Jimi Jules, Black Coffee",1CM0kiqrtCSHClFjTccTOb,13052524,37i9dQZF1E8KOaueGjavWG,YES,941,941/13052524*1M,72
22,CHICA 305,"John Summit, Feid",2xz5qmonUWZytz5jIw04LM,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
23,Freaky 1,"Max Styler, Vintage Culture, Ali Love",5cefCIhgIJgsG3r3LcRmwB,3104815,37i9dQZF1E8NhcVf7RydyJ,YES,249,249/3104815*1M,80
24,Everytime,"IDEMI, Lustral",5uaHSOou5ernQBKhfVse1f,9207927,37i9dQZF1E8PockTsYgIny,YES,780,780/9207927*1M,85
25,Reflections,IDEMI,0ZZWyT8ppn9PxVe17WX2DR,1106135,37i9dQZF1E8Pnt9puzMs1C,YES,54,54/1106135*1M,49
26,Get Stupid,Julian Fijma,22pC8m4kzjrMQRJXYg0usw,15773039,37i9dQZF1E8NkDtUTkmmYx,YES,650,650/15773039*1M,41
27,Contesto,"Massuma, DOSAMIS",4PjAtEHN8MXgXFQwTxIWva,10995924,37i9dQZF1E8OHxiL2EGOSx,YES,357,357/10995924*1M,32
28,TESLA,Mau P,6qJhrI2BMuA8qHcmycD3fL,UNKNOWN,37i9dQZF1E8PMshzKW0FtP,YES,708,708/UNKNOWN*1M,N/A
29,Party Started,"HUGEL, French Caviar, Emie Noa",4KUvvPHDP6QEjs1T4ZIvA6,UNKNOWN,37i9dQZF1E8LQvLlGxqsDU,YES,239,239/UNKNOWN*1M,N/A
30,HOTS 4 U,"Chris Lorenzo, aMo (um)",5nMrR3Ed99WcQ4Vv0wy8Bf,1728918,37i9dQZF1E8NTKPYm4zgMi,YES,156,156/1728918*1M,90
