track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,Tarzan Boy,Baltimora,273uCXd7NPrInaiNqtkOrA,318185459,37i9dQZF1E8KhCbNC3OiMU,YES,10830,10830/318185459*1M,34
2,Ride on Time,Black Box,3pgainA2dH9c7e8JVYGRCN,129140700,37i9dQZF1E8GEz1kVoVRW2,YES,3461,3461/129140700*1M,27
3,Ma quale idea,Pino D'Angiò,50f0mt35cIwwu3Krk7nS7b,105495945,37i9dQZF1E8TOqDKlFJj8Q,YES,7644,7644/105495945*1M,72
4,Two of Hearts,Stacey Q,2dURQIBrw3XcHyVZlfdpC1,88397943,37i9dQZF1E8EysBH9Q3upT,YES,5957,5957/88397943*1M,67
5,Dirty Talk,Klein & M.B.O.,4CMKgb0qrIsVu202dmop15,1151422,37i9dQZF1E8CN4Ct1EtQcn,YES,85,85/1151422*1M,74
6,I Like Chopin,Gazebo,2FHnN5ELL83TGbtXMDzoiJ,71969232,37i9dQZF1E8SP776EjRvIB,YES,2716,2716/71969232*1M,38
7,Everybody Everybody,Black Box,6wBMTv8yTiNh50fqTkT0JC,54367920,37i9dQZF1E8FUbpfUsflse,YES,3235,3235/54367920*1M,60
8,Self Control,Raf,70VXILTu9LqZNDc1VmqDGg,,,NO_SEED_MATCH,,Laura Branigan and cover versions dominate results,N/A
9,Problèmes d'Amour - Original,Alexander Robotnick,4xeQXFdKrNPQcGyze66bIx,1659877,37i9dQZF1E8TkS0hB3XKls,YES,159,159/1659877*1M,96
10,She Can't Love You,Chemise,3CX1FiiXSbvKjsXRYwApAP,23721369,37i9dQZF1E8OUmepddvFSh,YES,2921,2921/23721369*1M,123
11,Okay Okay,Pino D'Angiò,6W0PqAtbW7fkTRBtmwOwfM,40137294,37i9dQZF1E8DpIw9jI205X,YES,3427,3427/40137294*1M,85
12,Faces - Prod. by Roberto Ferrante - 2020 Remaster,Clio & Roberto Ferrante,7zUkx37JJ7iz3ru4Y7Zd26,8377974,37i9dQZF1E8LlBfADaaVJo,YES,573,573/8377974*1M,68
13,Ti Sento,Matia Bazar,72BnKkKnrOeCDY9vy2avFk,44771512,37i9dQZF1E8zAXLwDrG0XJ,YES,708,708/44771512*1M,16
14,Onenon,Nu Genea & Tom Misch,7Aw5qQy9zeg9ZGtsOQAcQA,1651693,37i9dQZF1E8OIUj9rT1eOE,YES,82,82/1651693*1M,50
15,Happy Song(Clap Your Hands) (Remix),Babys Gang,55QIoPBxFXVUydOz1OzB9B,2496712,37i9dQZF1E8O10XUrEPvxF,YES,146,146/2496712*1M,58
16,Don't Cry Tonight,Savage,7bZw9ExkWLxnf33nrcS3CB,13361731,37i9dQZF1E8N8QZxE3H4r5,YES,100,100/13361731*1M,7
17,Splendida giornata,Vasco Rossi,01lvgdQKXkM8AHUXRhawMk,16872176,37i9dQZF1E8SAae7wVbmRH,YES,280,280/16872176*1M,17
18,Vamos a la Playa,Righeira,3oQhgsBwOGaxr5dWKAim7Y,59161884,37i9dQZF1E8zSXUxCxkOSY,YES,478,478/59161884*1M,8
19,Disco Sole,Nu Genea,4shVjgoOMa73JgBtZIDDz4,13457307,37i9dQZF1E8T8hrgU0Cblb,YES,1135,1135/13457307*1M,84
20,Call Me,Ivana Spagna,6WmXgESlCVqsj7IrVPMEhm,,,NO_SEED_MATCH,,Blondie and other Call Me versions dominate results,N/A
21,Dolce Vita,Ryan Paris,2fv6Qeb7Z3uaqBeYINvJ0f,31302181,37i9dQZF1E8PeE8PZW5b2Z,YES,292,292/31302181*1M,9
22,Reset,"Massimiliano Pagliara, Fort Romeau & Coloray",69XBLvNPFQZPEFtQvmhDes,,,NO_SEED_MATCH,,generic title - artist radios dominate results,N/A
23,I Need You Tonight,Punkin Machine,12SY1IDzol5dg1yBTUoKYx,17520159,37i9dQZF1E8FqsBMifKpFx,YES,2129,2129/17520159*1M,122
24,Marechià,Nu Genea & Célia Kameni,1gE7p3b4J8p4ivOCR2CO0Y,45748183,,WRONG_VERSION,,Marechià Radio seeds to different track version (3NYm3ZimuJNb0Z0px5OEwO),N/A
25,Tutto va bene quando facciamo l'amore,Alex Rossi & Jo Wedin,2XtLmRzZSkNOXGRPgae8MA,12266966,37i9dQZF1E8NYqDJSwFn0f,YES,1125,1125/12266966*1M,92
26,Burn It!,Mind Enterprises,0ADXYdnGtoEcUodPirMYXZ,,,NO_SEED_MATCH,,Burn It! Radio seeds to different track (0XHSwT15ALpe58lcehwlP6),N/A
27,"Hypnotic Tango - Original 12"" Version",My Mine,3L1bBpBTa1SmGivOhR6DID,16422181,37i9dQZF1E8Hp2V9TmmjVN,YES,1399,1399/16422181*1M,85
28,The Glow of Love,Change & Luther Vandross,6w9g12jpHCPCuvYVX7vLLG,4633428,37i9dQZF1E8IiSElHJuy4z,YES,547,547/4633428*1M,118
29,Happy Children,P. Lion,2pv4osNldxcOvAGSjeNJVw,24957296,37i9dQZF1E8LFpjTrUQKRL,YES,304,304/24957296*1M,12
30,Mediterranea - Dumar Remix,Giuni Russo & Dumar,61mjD3RK2LsWRvsi3WgRVx,2012697,37i9dQZF1E8KXP5hYNbuF2,YES,211,211/2012697*1M,105
