artist,track_name,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
Maceo Plex,Conjure Dreams,3B82rCeX1aIZGC19Hf85fh,17907246,37i9dQZF1E8NIeGxizmqol,SEED_OK,175,175/17907246*1000000,9.77
Maceo Plex,Solar Detroit,5F1832Fe7DXjtqHCHWWvtm,5597476,37i9dQZF1E8DOKtqTiHNs6,SEED_OK,142,142/5597476*1000000,25.37
Maceo Plex,Frisky,3HR7dfdN1LHHaXyEgfWKJr,1268656,,NO_DEDICATED_RADIO,,,
Maceo Plex,Sex Appeal,61HNuC875tQp3Ut9ZgoFQi,590286,,NO_DEDICATED_RADIO,,,
Maceo Plex,Polygon Pulse,0S3wdrFayaS3znXsVuaxEZ,2049915,37i9dQZF1E8N2utaw9v6uY,SEED_OK,13,13/2049915*1000000,6.34
Agents Of Time,Magma,52FOCqSVA98nyGySegF3WH,107360,,NO_DEDICATED_RADIO,,,
Rex The Dog,Wasp Factory,4yc1cGvwEH7slUiDw5kIuh,172634,,NO_DEDICATED_RADIO,,,
Stephan Bodzin,Powers Of Ten (Maceo Plex & Shall Ocin Remix),2xlb1yXTcqa4rTn7Ju9qDT,1630720,37i9dQZF1E8IpaU3ePpaVe,SEED_OK,30,30/1630720*1000000,18.4
Hunter/Game,Blue Earth,3IwZ8l0clAHDWhQHMXzI9g,58519,,NO_DEDICATED_RADIO,,,
Maceo Plex,Her Security,0W2Haepjk0ZxNh5hGXEgEo,31508,,NO_DEDICATED_RADIO,,,
Shall Ocin,ISO,6tYjBcSf4qEhKtqHOfh4b6,43593,,NO_DEDICATED_RADIO,,,
