track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,Molly In The Club,Sophia Stel,1ngbCM8cVBEcE3yCFdelAU,260936,37i9dQZF1E8OLR8kHEBjKv,YES,20,20/260936*1M,77
2,L.U.C.K.Y - (Live) | Spotify RADAR,Fcukers,6PQiK3sagwZIY04nQOhIAX,30190,37i9dQZF1E8P9XLJh4xBLC,YES,2,2/30190*1M,66
3,Please Don't Go,TEED,3Vts3XadQYgFxql1hSyu3f,55500,,NO_DEDICATED_RADIO,,no TEED radio found after exhaustive search (5 same-title radios verified via description: all other artists),N/A
4,Beautiful Noise In My Head,Soul Wun,2GoLYTvdOKOTNJYOBUk7N6,254247,37i9dQZF1E8M3QSXBBWcfs,YES,29,29/254247*1M,114
5,Return To Bhibo,Barry Can't Swim,0b04O4aNqXhiUtHJcb6bcm,2780811,37i9dQZF1E8LxHnOdnvAjh,YES,311,311/2780811*1M,112
6,Magnetic,The Bausa,4hFDFmMnSYZ32ssqNUOCjt,64469370,37i9dQZF1E8MBfxtRbG8NS,YES,8309,8309/64469370*1M,129
7,Your Lovin',"Tonique & Man, Jean Tonique, Mi Man",1CzwbuxixZXvQjfvNqsK8d,118030,37i9dQZF1E8PUCy7ESduhU,YES,9,9/118030*1M,76
8,Runaways,Midnight Generation,2q0t6NVVxNPWXAxjZ5qIXX,73193,37i9dQZF1E8NHLLiF7N7DT,YES,5,5/73193*1M,68
9,Scaredy Cat,Alex Bone,4PBC9r8oe5Dx1saEa9TMFh,6242,37i9dQZF1E8L9py9Eq6fwO,YES,0,0/6242*1M (radio header omits saves = 0),0
10,"Girl, Hold Tight (Marsha P)",Crush Club,6zUqRyiM0Z86ipTp9bV9YP,9828,37i9dQZF1E8O48fSnl4Cle,YES,1,1/9828*1M,102
11,Every Single Weekend (feat. Jamie xx),"The Avalanches, Jamie xx",0nac7FVmtrYm0O3Iu27ijo,1517641,37i9dQZF1E8PWPvb62WcCx,YES,79,79/1517641*1M,52
12,espiral,"Ela Minus, Nick León",1BGmn3of8EaszOvSdnASwY,46760,37i9dQZF1E8NfyhMXBrrIp,YES,1,1/46760*1M,21
13,Me and You,Bonobo,3K3yAN6QVsLNM3tNkn8zuo,1292691,37i9dQZF1E8LYYZ0p98LSM,YES,155,155/1292691*1M,120
14,Bedroom Eyes,"Poolside, Stevie Appleton",3qOzschVOffCPjbac03qyB,129255,37i9dQZF1E8LuRwyqhXX4l,YES,16,16/129255*1M,124
15,Hurt Nobody,Alex Bone,7pPskSvN203zIew4AgRM2E,75820,37i9dQZF1E8MdHzfTaDR0t,YES,4,4/75820*1M,53
16,Goes Like,"From Dave, That Franco",05p4Ruz6Pg0X3IuyZ3BbBR,31104,37i9dQZF1E8PV1JozB8j9Q,YES,2,2/31104*1M,64
17,Round The Block,"49th & Main, Jane",5Bxxp1dWac7F4sOI3jK0OG,444984,37i9dQZF1E8KUjAQVzZTcN,YES,27,27/444984*1M,61
18,Real Life,Fi Sullivan,5rYf4GkNZPYUMDf0SqF4gg,9839,,NO_DEDICATED_RADIO,,no Fi Sullivan radio found after exhaustive search (title-only + artist-qualified + Google site search),N/A
19,ROUND & ROUND,Sam Gellaitry,3O70fX1mURzZI5lXd42JEq,122840,37i9dQZF1E8PI2HZJjzHhN,YES,1,1/122840*1M,8
20,Falling Again,3kelves,1KOKSXOF3t21CKCR3DeEkR,167998,37i9dQZF1E8MNIbBlLAoYi,YES,0,0/167998*1M (radio header omits saves = 0),0
21,Do It With Ya (ft. 3DDY),"ANOTR, 3DDY",4JU9hY1zC0MAIVEjzyMibu,407874,37i9dQZF1E8Peb3wMVgsSB,YES,1,1/407874*1M,2
22,Dope Swings,"LOVE LANGUAGE, America Rose",2M0Tu29WfWONoAD8WVr3cN,8969,37i9dQZF1E8OhAgbPeTZYz,YES,1,1/8969*1M,112
23,Fallin',"Plaisance, MATTII",7G7CE9KCxDS3QNO7f9tp8T,5481,,NO_DEDICATED_RADIO,,no Plaisance radio found after exhaustive search (Alicia Keys and others own the title results),N/A
24,I'm Summer (Ross from Friends Rework),"Zorro, Ross from Friends",54d4qugaxmiOhMRxp1gQxn,45617,37i9dQZF1E8Pl08ttwPXp1,YES,3,3/45617*1M,66
25,Lose Myself,The Bausa,0e5K24g47Xze7bR6eftsHT,2359241,37i9dQZF1E8PgG8UxWFeCx,YES,101,101/2359241*1M,43
26,The Wave,Jungle,6Ln44Up5lBxNgCsaLoXY6W,10021531,37i9dQZF1E8MoiYY3PBXvc,YES,836,836/10021531*1M,83
27,Mark Me Up,Machweo,12YjtZKw8I36HH5DWnVLDe,3415,37i9dQZF1E8NOl31Xci3gc,YES,0,0/3415*1M (radio header omits saves = 0),0
28,Never Seen You Dance - DJ-Kicks Version,TEED,4htyuJyykfMfdlN5RujEV2,178235,37i9dQZF1E8LwSr7QyBw50,YES_SAME_SONG_DUPLICATE_SEED,0,0/178235*1M (radio verified via description 'With TEED...' + exact title; seeds canonical duplicate release ID; 0 saves),0
29,True Love,Birthday in Texas,6hU4PamXZpUNkDvBwfraUi,10403,,NO_DEDICATED_RADIO,,no Birthday in Texas radio found after exhaustive search,N/A
30,Run (feat. O.MMY),"Marsolo, O.MMY",1gI05lrka4qQy2p00eW7Rw,99250,37i9dQZF1E8O9kPNSkXDaI,YES,2,2/99250*1M,20
