artist,track_name,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
Noir & Haze,Around (Solomun Vox),1FqCIlKJRNqpuQOAO7HCGd,66437610,37i9dQZF1E8L2uALophiVo,SEED_OK,1618,1618/66437610*1000000,24.35
Solomun,Something We All Adore,2y4e3eS81e7wR4oZmv7Xhx,13343891,37i9dQZF1E8NHa7eKDOY6Y,SEED_OK,152,152/13343891*1000000,11.39
Tiga vs Audion,Let's Go Dancing,5GmQN2FdUUrBukgQSmGlJm,1889550,37i9dQZF1E8Ld8AxDC5k84,SEED_OK,8,8/1889550*1000000,4.23
Midland,Realtime,4udTLpfZxvInj17wWFeVk3,107163,,NO_DEDICATED_RADIO,,,
Solomun,Kackvogel,7DvYn41w1CZ1mBHbIVUDfO,15323625,37i9dQZF1E8NH6tE6jax3F,SEED_OK,70,70/15323625*1000000,4.57
Foals,Late Night (Solomun Remix),0l2C9pw5nBeMlzQW8Xz8F9,82626664,37i9dQZF1E8LhsXoA9dVi8,YES_SAME_SONG_DUPLICATE_SEED,272,272/82626664*1000000,3.29
Dusky,What I Do,4ZhqhmuWk1zTr0GoYJrKRH,48456,,NO_DEDICATED_RADIO,,,
Adriatique,Motions,6gOMhPmLlrY9QNmgKzer0i,779679,,NO_DEDICATED_RADIO,,,
Kolombo,My Own Business,3wZKT1JFzqd1FJgP6Z07SK,3911609,37i9dQZF1E8NnTvLG5Eonh,SEED_OK,17,17/3911609*1000000,4.35
AFFKT,Jakla (Gorge Remix),0L4xufj3lBavRz9rtPTpRF,278277,37i9dQZF1E8M0SjOFmahUX,SEED_OK,28,28/278277*1000000,100.62
CamelPhat,Love 4 The D.O.G.G,4FcWnjFqpEI14YvMnkajIK,313986,,NO_DEDICATED_RADIO,,,
Sabb,Feel Love,4QNeZ0dBf34YzycnGad37o,132630,,NO_DEDICATED_RADIO,,,
Rudimental,Right Here (feat. Foxes) - Hot Since 82 Remix,0tWEM3ZCFAtz6Lw2k4R8HT,888511,37i9dQZF1E8IuIZtIaRNKr,SEED_OK,13,13/888511*1000000,14.63
Marlon Hoffstadt & Dansson,Shake That,1rypX2zZBPa2nliK6BwC4Z,3789977,,NO_DEDICATED_RADIO,,,
Kraak & Smaak,Let's Go Back (Solomun Remix),4Zkm6q890odfBAsSQ2at3A,962082,37i9dQZF1E8JvMvfSDl3KB,SEED_OK,17,17/962082*1000000,17.67
