track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
1,Sunset In Pretoria,"Shimza, Demayä",03vLVYmqX7k3gKm3kOQIai,UNKNOWN,37i9dQZF1E8PulEQyioPkL,YES,17,17/UNKNOWN*1M,N/A
2,The Only One - Radio Edit,"Bedouin, Luch, Karl Williams",3eEdbkAYt1mYKDoHYzc4Ig,318617,37i9dQZF1E8N0sK31U9oke,YES,47,47/318617*1M,148
3,EVERYTHING IN ITS RIGHT PLACE,"LE YORA, SOMMA, JEWELS, YUMA, MAGNUS",03p9MCjq5ld1kRmqCGNXgs,2799984,37i9dQZF1E8PexTDB6KGti,YES,555,555/2799984*1M,198
4,Chasing Fire,IDRIS,67iuYoqmDfJ5BqNiL4WWyi,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
5,Be The One,"Adam Port, SG Lewis, Keinemusik",4gDKviRLkpZowZhcnRPqqE,8355383,37i9dQZF1E8Lta6jwdlt5N,YES,253,253/8355383*1M,30
6,Macho,"DESIREE, Emmanuel Jal",1lfrEfIqFx5uUrJInBub0n,UNKNOWN,37i9dQZF1E8Nuo93SrfLFi,YES,8,8/UNKNOWN*1M,N/A
7,Allo,"Alex Wann, JUNO (DE)",0KulM7tmm7fqNUORBooiXg,UNKNOWN,37i9dQZF1E8MTn08nFcwFA,YES,14,14/UNKNOWN*1M,N/A
8,Shine A Light,Kitty Amor,7yPLswWaozPXqZCcz0Dcp9,58332,,NO_SEED_MATCH,,no radio seed match,N/A
9,Te Doy La Libertad,MESTIZA,5ODIUPpNdmVZRjTMHa0Vjp,UNKNOWN,37i9dQZF1E8Ldwa5PWftUz,YES,33,33/UNKNOWN*1M,N/A
10,Attract,"Ajna, Samm",4ykK6tNnlu2fAAWPCxzvFc,UNKNOWN,37i9dQZF1E8KWSrb12wREc,YES,16,16/UNKNOWN*1M,N/A
11,I Know Who I Be,"Davido, JAZZWRLD, GL_Ceejay",1TglprKNjHw9rmTNgVZpUu,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
12,Repeat,"Vanco, DEELA",5s8W9kVGieuKlxDsECr7aP,375883,,NO_SEED_MATCH,,no radio seed match,N/A
13,I AM,OMAH LAY,1iDNf6nP0BCXilLVVptflh,18719497,,NO_SEED_MATCH,,no radio seed match,N/A
14,Champagne,"Francis Mercier, MASSALA, LexBlaze",7dfiOtJr96c3VGUI0JdnJE,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
15,Cola (ARTBAT Remix),"CamelPhat, Elderbrook, ARTBAT",58caScGqKTQIDDJQ7QnJU8,7273468,,NO_SEED_MATCH,,no radio seed match,N/A
16,FOCUS,"Dr. Chaii, KARABA, Emily Apollo, KMNI",3WfWhh0UEe9AaLdUDqv70P,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
17,SARU,Sara Costa,2iKf7dqfmgp1cIoZOrroCw,UNKNOWN,37i9dQZF1E8O2awHSW1SaP,YES,2,2/UNKNOWN*1M,N/A
18,Dum Tak,"Juany Bravo, NODUS, Murmusica",1yXPwKVe5Yvw9FUBjHIu07,148782,37i9dQZF1E8N5SHiFfCH7c,YES,14,14/148782*1M,94
19,Close 2 U,Paperwater,4KR4fvzuBru2PNqqhAZGk0,UNKNOWN,37i9dQZF1E8P69MeiCwNLg,YES,8,8/UNKNOWN*1M,N/A
20,Mindgames,"Yamil, Clemente, Groove Shack, Pieces Of Life",29nPx72E4v4mGiTgv5PzxZ,UNKNOWN,37i9dQZF1E8NVsjwqn5b2w,YES,2,2/UNKNOWN*1M,N/A
21,Yivule,CIZA,783s9jQYL85ipURwgyIB6I,UNKNOWN,37i9dQZF1E8Pvk4Vrap5pr,YES,20,20/UNKNOWN*1M,N/A
22,Reina de la Pista,Miluhska,5ZmOi8QTdksIUcyjvwYQGx,UNKNOWN,37i9dQZF1E8LeDjO9ulCvo,YES,28,28/UNKNOWN*1M,N/A
23,Where Do We Go (Peggy Gou Remix),"Ayra Starr, Peggy Gou",7icTQjIbMxfkOU71InqarB,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
24,Wo´s Patric?!?,DJ Koze,0SbwJZ37eiEaWIxIP7dS8c,99846,37i9dQZF1E8P0kvX6V7Vv8,YES,12,12/99846*1M,120
25,Chor,"Indo Warehouse, Rashmeet Kaur, Kahani, Kunal Merchant",7maiSgBL2JC4icWRAemLHZ,UNKNOWN,,NO_SEED_MATCH,,no radio seed match,N/A
26,Let's Get Down,"Yulia Niko, Supafly",5jEgK8fb8NT3DlFqG7dqRx,UNKNOWN,37i9dQZF1E8PAuhwAeQt7Y,YES,2,2/UNKNOWN*1M,N/A
27,Mean 2 Me,"Skyla Tylaa, Kitty Amor, Ruger",6IMJPS60S4PuO4dsyGSaDc,773304,,NO_SEED_MATCH,,no radio seed match,N/A
28,A Feeling I Miss (SAMA Remix),"Cassian, Matt Ryder, SAMA (US)",50xyYrPZV6rs5pmAIozDMt,UNKNOWN,37i9dQZF1E8NQKzGH6lRxG,YES,19,19/UNKNOWN*1M,N/A
29,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",1BJJbSX6muJVF2AK7uH1x4,895330788,37i9dQZF1E8NtjM3tRpfk8,YES,41269,41269/895330788*1M,46
30,Sunrise (Adam Ten Remix),"Shouse, Adam Ten",4CrKKZuQtC5GgCSBRl1zpk,7151315,,NO_SEED_MATCH,,no radio seed match,N/A
